Year,river,date,DO,BOD,COD,SS,pH,NH3N,TEMP,COND,SAL,TUR,TC,Class
2022,DAMANSARA,12/11/2022,6.186,5,13,28,7.048,2.04,27.788,179.004,0.083,54.412,270000,Slightly Polluted
2022,DAMANSARA,17/1/2022,7.38,<1.000,5,2,6.713,0.06,29.927,84.776,0.038,7.049,45000,Clean
2022,DAMANSARA,4/3/2022,6.51,1,11,29,7.526,0.08,30.159,85.475,0.039,54.428,27000,Clean
2022,DAMANSARA,16/5/2022,7.592,1,3,4,6.863,<0.010,29.625,73.693,0.033,5.165,53000,Clean
2022,DAMANSARA,7/7/2022,7.456,3,15,8,6.717,0.03,31.015,83.112,0.037,11.421,26000,Clean
2022,DAMANSARA,9/9/2022,6.496,<1.000,3,8,6.635,0.13,29.198,64.593,0.029,14.116,24500,Clean
2022,DAMANSARA,12/11/2022,7.02,<1.000,4,10,6.567,0.1,29.319,76.056,0.034,10.889,50000,Clean
2022,KLANG,10/1/2022,5.221,6,20,55,7.071,3.47,28.573,236.836,0.111,20.552,410000,Slightly Polluted
2022,KLANG,9/3/2022,5.482,4,14,40,7.129,1.21,28.334,185.769,0.086,35.477,490000,Slightly Polluted
2022,KLANG,10/5/2022,5.626,7,21,19,7.324,4.32,30.295,247.666,0.116,12.246,390000,Slightly Polluted
2022,KLANG,6/7/2022,5.315,7,19,24,7.129,0.69,27.565,271.604,0.128,19.373,300000,Slightly Polluted
2022,KLANG,7/9/2022,6.543,7,39,41,7.28,2.68,27.23,178.858,0.083,29.893,550000,Slightly Polluted
2022,KLANG,4/11/2022,6.632,6,23,50,7.188,2.22,27.068,179.953,0.084,28.814,370000,Slightly Polluted
2022,KLANG,10/1/2022,5.099,9,28,35,7.103,3.38,28.409,219.22,0.102,25.203,1140000,Slightly Polluted
2022,KLANG,14/3/2022,5.207,8,20,28,7.04,2.32,29.356,206.051,0.096,17.916,880000,Slightly Polluted
2022,KLANG,18/5/2022,5.239,9,21,69,7.144,1.58,28.528,172.938,0.08,39.086,790000,Slightly Polluted
2022,KLANG,13/7/2022,6.174,11,28,36,6.666,0.98,27.518,175.007,0.081,28.455,2500000,Slightly Polluted
2022,KLANG,7/9/2022,5.579,8,31,49,7.154,1.39,27.704,176.521,0.082,31.291,1260000,Slightly Polluted
2022,KLANG,4/11/2022,5.917,8,21,44,7.089,1.95,27.892,181.315,0.084,20.702,640000,Slightly Polluted
2022,KLANG,10/1/2022,5.522,7,20,14,7.091,2.03,28.955,174.489,0.081,22.874,990000,Slightly Polluted
2022,KLANG,14/3/2022,5.63,6,23,10,7.189,2.41,28.444,201.918,0.094,52.129,930000,Slightly Polluted
2022,KLANG,18/5/2022,5.066,20,62,72,7.036,0.85,28.478,154.193,0.071,42.63,860000,Polluted
2022,KLANG,13/7/2022,5.829,7,20,26,6.994,1.57,26.565,180.938,0.084,31.04,1130000,Slightly Polluted
2022,KLANG,7/9/2022,6.697,8,29,45,7.227,1.44,26.387,180.625,0.084,34.457,1090000,Slightly Polluted
2022,KLANG,4/11/2022,6.377,7,19,33,7.193,1.97,27.359,178.39,0.083,26.432,750000,Slightly Polluted
2022,KLANG,17/1/2022,4.476,3,27,50,7.1,3.71,28.28,226.203,0.106,17.522,1010000,Slightly Polluted
2022,KLANG,10/3/2022,5.234,7,39,71,7.275,0.67,27.939,185.808,0.086,68.13,800000,Slightly Polluted
2022,KLANG,19/5/2022,5.419,6,21,114,7.112,1.02,27.907,154.727,0.072,84.779,610000,Slightly Polluted
2022,KLANG,7/7/2022,5.501,9,33,18,7.102,2.76,28.397,233.728,0.109,14.56,580000,Slightly Polluted
